title,id,doi,creators,orcid,date,description,resource_type,url,type,rights,publisher,relation,communities,swh_id,keywords,src_repo,issn,pmid,iris_cat,title_norm,dup_reason
mythlod/1.0,4639821.0,10.5281/zenodo.4639821,"['Valentina Pasqual', 'Francesca Tomasi']","['0000-0001-5931-5187', '0000-0002-6631-8607']",2021-03-26,"mythLOD dataset is a Knowledge Base which has been developed on top of Mythologiae (https://patrimonioculturale.unibo.it/mythologiae/) collection. The dataset stores artworks descriptive metadata, experts interpretations over artworks with a particular interest over literary references (especially from classical sources).   ",dataset,https://doi.org/10.5281/zenodo.4639821,dataset,open,zenodo,['4639820'],[],,"['Semantic Web', 'Linked Open Data', 'Mythologiae', 'Canonical Citations', 'Layered Approach', 'Interpretation', 'Digital Collection']",zenodo,,,7.05 Banche dati,mythlod10,doi
D2.5 - MLOs Beta Release,10887785.0,10.5281/zenodo.10887785,"['Sarkar, Arkopaul']",['zenodo'],2024-03-27,"OntoCommons aims at working toward interoperability by means of harmonization with respect to upperlevel ontologies and facilitating agreement in domain ontology development. As part of the effort of work package 2, an objective of OntoCommons is to provide alignments among existing MLOs from different TLO branches. This task needs to perform several activities, such as identification of existing MLOs and corresponding disciplines that are to be covered by the alignment effort, the definition of the expected level of alignment that is to be performed for the MLOs and finding gaps in the disciplines which may be filled with new MLO development. A beta version of the harmonized MLO is planned to be published in the 18th month of the project. This report associates the current development and describes the methodology, list of disciplines and MLOs considered and other technical details.",project deliverable,https://doi.org/10.5281/zenodo.10887785,publication,open,zenodo,['10887784'],"['ontocommons', 'eu']",,"['Alignment', 'Data', 'Harmonization', 'Ontology', 'Standardisation']",zenodo,,,7.13 Rapporto tecnico,d25 mlos beta release,title
CNR-IRPI-Padova/P-SARRET: P-SARRET v0.1,3600250.0,10.5281/zenodo.3600250,"['Stefano Crema', 'Giacomo Titti', 'Alessandro Sarretta', 'Matteo Mantovani']","['0000-0001-8828-3129', '0000-0003-1980-8723', '0000-0002-1475-8686', '0000-0002-9042-8785']",2020-01-07,"This is the first release of the P-SARRET plugin for QGIS 3.x developed by Stefano Crema, Giacomo Titti, Alessandro Sarretta and Matteo Mantovani, CNR-IRPI, Padova, Dec. 2019",software,https://doi.org/10.5281/zenodo.3600250,software,open,zenodo,['3600249'],[],,,zenodo,,,7.04 Software,cnrirpipadovapsarret psarret v01,title
Data Management Plan: final version,14955816.0,10.5281/zenodo.14955816,"['Cavallo Perin, Roberto', 'Gualandi, Bianca', 'Paruzzo, Francesca', 'Peroni, Silvio']","['0000-0002-3217-6591', '0000-0001-8202-8493', '0009-0003-9488-4555', '0000-0003-0530-4305']",2025-02-28,"The activities of Spoke 4 - Virtual Technologies for museums and art collections focus on the impact of digital cultural heritage (DHC), compared to the current views on tangible and intangible heritage. The final objective is to make the digital enhancement of cultural heritage a permanent and widespread practice in museums and art collections, in order to:  

    Increase the knowledge and organization of artifacts in all forms  
    Expand the general public involvement  
    Improve and make more sustainable the exhibition potential  
    Improve accessibility, inclusiveness, participation, enjoyment and sustainability.  

In addition, in line with the objectives of the NRRP1, the project reinforces multidisciplinary research on a topic of strategic value; introduces innovative models for basic research, promoting synergies between universities, cultural heritage institutions and companies (through the implementation of pilot studies involving national museums and art collections); empowers existing research infrastructures and supports innovation by developing specific competences. 
This Data Management Plan describes the categories of data produced and re-used within the project and details how they are handled in a transparent manner and according to FAIR principles and open science principles.  
This deliverable is a living document and has evolved during the lifespan of the project. The first version was published in May 2023; the second version in February 2024; this final planned update has been published in February 2025 (M27 of the project). ",project deliverable,https://doi.org/10.5281/zenodo.14955816,publication,open,zenodo,['14955815'],['project-changes'],,,zenodo,,,7.13 Rapporto tecnico,data management plan final version,doi
Implementation of guidelines and best practices for technology-aided narratives via prototypes,14251585.0,10.5281/zenodo.14251585,"['Pescarin, Sofia', 'Barzaghi, Sebastian', 'Bordignon, Alice', 'Collina, Federica', 'Fabbri, Francesca', 'Fanini, Bruno', 'Ferdani, Daniele', 'Damiano, Rossana', 'Gualandi, Bianca', 'Heibi, Ivan', 'Manganelli Del Fa, Rachele', 'Mariniello, Nicola', 'Massari, Arcangelo', 'Massidda, Marcello', 'Moretti, Arianna', 'Peroni, Silvio', 'Rega, Maria Felicia', 'Renda, Giulia', 'Sullini, Mattia', 'Genovese, Gianluca', 'Montanari, Roberto', 'Presta, Roberta', 'Tikhomirova, Yulia', 'Furferi, Rocco']","['0000-0002-9529-7083', '0000-0002-0799-1527', 'zenodo', '0000-0002-5759-8109', 'zenodo', 'zenodo', '0000-0003-1558-1365', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', '0009-0003-0621-8211', 'zenodo', '0000-0003-0530-4305', 'zenodo', 'zenodo', '0009-0004-0022-4925', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo']",2024-11-30,"This deliverable contains the guidelines and best practices for the digital acquisition campaign and 3d model optimisation finalised for web3d implementation. It specifically includes a reproducible workflow for creating digital twins in the cultural heritage domain. It addresses how to create reproducible workflows for the 3D acquisition and digitisation of cultural heritage objects to ensure sustainability and reusability across various institutions. By addressing two main research questions, the paper proposes a workflow that involves the systematic acquisition, processing, and digitisation of cultural heritage artefacts. In particular, the workflow focuses on developing digital twins for cultural heritage settings and exhibitions and proposes baseline standards for both technical and interpretative aspects of digitisation. The workflow has been derived and tested on the pilot case of the temporary exhibition Other Renaissance: Ulisse Aldrovandi and the Wonders of the World in the context of the CHANGES project. We reflect on the software and hardware equipment, the procedures and techniques to use, and the formats to adopt to comply with openness, accessibility, transparency, reproducibility, reusability and sustainability of the research workflow by backing on previous works on fostering reproducibility in research and improving the interoperability of 3D data across different systems. It highlights the necessity for transparent documentation of every step of the process, focusing on accountability and practices in the context of cultural heritage research. Finally, the deliverable also suggests improvements to enhance the sustainability of these workflows and discusses future directions for digitisation efforts and sharing research practices.
Part of the content of this deliverable has been submitted for consideration in the DARIAH Transformations journal, and can be cited as:
Sebastian, B., Bordignon, A., Collina, F., Fabbri, F., Fanini, B., Ferdani, D., Gualandi, B., Heibi, I., Mariniello, N., Massari, A., Massidda, M., Moretti, A., Peroni, S., Pescarin, S., Rega, M. F., Renda, G., & Sullini, M. (2024). A reproducible workflow for the creation of digital twins in the cultural heritage domain. Zenodo. https://doi.org/10.5281/zenodo.14170838",project deliverable,https://doi.org/10.5281/zenodo.14251585,publication,open,zenodo,['14251584'],['project-changes'],,,zenodo,,,7.13 Rapporto tecnico,implementation of guidelines and best practices for technologyaided narratives via prototypes,multiple ids
D2.4 - TRO Beta Release,10894067.0,10.5281/zenodo.10894067,"['Masolo, Claudio']",['zenodo'],2022-04-29,"This report presents the alignment between the existing Top-Level Ontologies (TLOs) available in common logic at the beginning of 2022 and used in the NMBP work programme domains of interest as individuated by the OntoCommons project. The report presents today's state of these ontologies with indication of the main changes with respect to their first-order logic version of reference (if existing), and provides formal alignments between them.",project deliverable,https://doi.org/10.5281/zenodo.10894067,publication,open,zenodo,['10894066'],"['ontocommons', 'eu']",,"['Ontology', 'Top-Level Ontology', 'BFO', 'DOLCE', 'EMMO', 'Alignment', 'Mapping']",zenodo,,,7.13 Rapporto tecnico,d24 tro beta release,title
CNR-IRPI-Padova/SZ: SZ plugin,5693351.0,10.5281/zenodo.5693351,"['Giacomo Titti', 'Alessandro Sarretta', 'Luigi Lombardo']","['0000-0003-1980-8723', '0000-0002-1475-8686', '0000-0003-4348-7288']",2021-11-13,"The susceptibility measures the probability of occurrence of a phenomenon under study. It estimates how much the predisposing factors affect past phenomena in order to predict future scenarios.
Numerous tools and software are available for susceptibility analysis. Some of them are focused on spatial susceptibility or susceptibility zoning and are developed on both proprietary and open-source Geographical Information Systems, such as: GRASS r.landslide (Bragagnolo et al., 2020), ArcGIS ArcSDM (Kemp et al. 2002) and Toolboxes (Jebur et al., 2015), R LAND-SE (Rossi & Reichenbach, 2016), R RSAGA (Brenning et al., 2018).
In this work, a new open-source tool for susceptibility zoning has been implemented for the QGIS software, named Susceptibility Zoning plugin (SZ-plugin). It allows to map the susceptibility of a specific object of study in the selected area. In particular, the plugin has been developed for landslide susceptibility mapping in the context of the project Silk Road Disaster Risk Reduction of the Belt and Road Initiative (Lei et al., 2018) to prevent and mitigate the risk induced by landslides on the infrastructure.
The code has been written in Python3 using third-party libraries and plugins such us: scikit-learn (Pedregosa et al., 2011), NumPy, Matplotlib (Caswell et al., 2020 ; Hunter, 2007), GDAL, QGIS Plugin Builder, Plotly and Pandas.
The plugin version 1.0 maps the susceptibility through severalstatistical methods: Weight of Evidence, Frequency Ratio, Logistic Regression, Decision Tree, Support Vector Machine, Random Forest. The analysis provides a measure of the probability of occurrence expressed by the Susceptibility Index (SI). Moreover, the SZ-plugin allows to evaluate the prediction capacity of the model by the representation of the Receiver Operating Characteristic (ROC) curves based on the training and validating datasets respectively and to cross-validate the result by simple random selection or k-fold method.
The result is an efficient tool which supports the susceptibility zoning from the spatial analysis to the validation of the method and results.
The code repository, further versions and upgrades are available on GitHub: https://github.com/CNR-IRPI-Padova/SZ .",software,https://doi.org/10.5281/zenodo.5693351,software,open,zenodo,['3843275'],[],,,zenodo,,,7.04 Software,cnrirpipadovasz sz plugin,title
Effects of Vegetation Urban Street Canyons. Summer 2017 and Winter 2018 Experimental Campaigns,3907420.0,10.6092/unibo/amsacta/6317,"['Di Sabatino, Silvana', 'Brattich, Erika', 'Barbano, Francesco', 'Torreggiani, Luca', 'Barbieri, Carla', 'Minguzzi, Enrico']","['0000-0003-2716-9247', '0000-0001-8402-7611', '0000-0002-4403-7070', 'zenodo', 'zenodo', 'zenodo']",2020-01-29," 
This dataset contains the observations of air quality collected within two experimental campaigns conducted in summer 2017 (07 August 2017-26 September 2017) and winter 2018 (15 January 2018-15 February 2018) in two street canyons in the city of Bologna, to verify the effectiveness of vegetation in altering ventilation levels and pollutant concentration in real-world street canyons. The dataset also contains the meteorological data collected during non-synoptic periods, representing the ideal condition to assess the behavior of the local circulation and turbulence. The experimental field campaigns were setup under WP3 (“Planning and evaluation of PCS solutions”) and conducted under WP5 (“Monitoring and Evaluation of the Interventions”) of the iSCAPE project. Briefly, two parallel urban street canyons characterized by a different occurrence of vegetation, i.e. one almost free of vegetation (Marconi St.) and one with a tree line along both sides of the street (Laura Bassi St.), were instrumented for measurements of meteorology and turbulence variables at three height levels, while pollutant concentrations were monitored at ground level inside both canyons. This dataset is linked to the paper “Disentangling the effect of vegetation on ventilation and air quality in urban street canyons: the Bologna iSCAPE experimental campaigns” by Di Sabatino et al., which will be submitted for publication on “Science of the Total Environment” edited by Elsevier, and to the paper “Characteristic Scales for Turbulent Exchange Processes in a Real Urban Canopy” by Barbano et al., which is under review for publication on “Boundary-Layer Meteorology” edited by Springer. If you use this dataset for your research or work purposes, we ask that you acknowledge us in the use of your data, which can be done by including a proper citation in any documents or publications using these data.",dataset,https://doi.org/10.6092/unibo/amsacta/6317,dataset,open,zenodo,['3907419'],"['iscape', 'eu']",,"['air pollution', 'environmental', 'field campaign']",zenodo,,,7.05 Banche dati,effects of vegetation urban street canyons summer 2017 and winter 2018 experimental campaigns,doi
Effects of Photocatalytic Coatings in reducing NOx pollutant concentrations (2018),3907410.0,10.6092/unibo/amsacta/6281,"['Di Sabatino,', 'Brattich, Erika', 'Barbano, Francesco', 'Torreggiani, Luca', 'Barbieri, Carla']","['0000-0003-2716-9247', '0000-0001-8402-7611', '0000-0002-4403-7070', 'zenodo', 'zenodo']",2020-01-29,"This dataset contains the observations of air quality collected within one experimental campaign conducted in August 2018 at Lazzaretto campus of the University of Bologna to verify the effectiveness of photocatalytic coatings in reducing pollutant concentrations. The dataset also contains the meteorological data collected during non-synoptic periods, representing the ideal condition to assess the behavior of the local circulation and turbulence. This experimental field campaign was conducted under WP3 (“Planning and evaluation of PCS solutions”) of the iSCAPE project. Briefly, two parallel street canyons were instrumented for measurements of meteorology and turbulence variables at two height levels, while pollutant concentrations were monitored at ground level inside both canyons. After a first period of parallel contemporary measurements to verify the presence of intrinsic differences between the two canyons, one of the two canyons (Canyon A) was painted with photocatalytic coatings, while the other (Canyon B) was left untouched and used as reference canyon. This dataset is linked to the paper “The effect of photocatalytic coatings on NOx concentrations in real-world street canyons” by Brattich E. et al., which has been submitted for publication on “Science of the Total Environment” edited by Elsevier. If you use this dataset for your research or work purposes, we ask that you acknowledge us in the use of your data, which can be done by including a proper citation in any documents or publications using these data.",dataset,https://doi.org/10.6092/unibo/amsacta/6281,dataset,open,zenodo,['3907409'],"['iscape', 'eu']",,"['air pollution', 'photocatalysis', 'nitrogen dioxide', 'coatings']",zenodo,,,7.05 Banche dati,effects of photocatalytic coatings in reducing nox pollutant concentrations 2018,doi
Language data and project specialist:  A new modular profile for graduates in language-related disciplines,5030929.0,10.5281/zenodo.5030929,"['Miličević Petrović, Maja', 'Bernardini, Silvia', 'Ferraresi, Adriano', 'Aragrande, Gaia', 'Barrón-Cedeño, Alberto']","['zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo']",2021-06-25,"The UPSKILLS needs analysis explored the current academic offer in language- and linguistics-related fields (modern languages and cultures, translation, general linguistics, etc.) and the requirements the job market has for graduates in these areas. The analysis highlighted the need for a new skill set and a new mind frame to meet the demands as well as the professional challenges of the industry. Taking into consideration the results of the individual components of the needs analysis, this final report outlines a new professional profile, that of the language data and project specialist, and includes a detailed description of the knowledge, skills and competences that present-day and future graduates in languages and linguistics should obtain to improve their employability in the digital business sector.",project deliverable,https://doi.org/10.5281/zenodo.5030929,publication,open,zenodo,['5030928'],['upskills'],,,zenodo,,,7.13 Rapporto tecnico,language data and project specialist a new modular profile for graduates in languagerelated disciplines,doi
"Competences, skills and tasks in today's jobs for linguists: Evidence from a corpus of job advertisements",5030879.0,10.5281/zenodo.5030879,"['Ferraresi, Adriano', 'Aragrande, Gaia', 'Barrón-Cedeño, Alberto', 'Bernardini, Silvia', 'Miličević Petrović, Maja']","['zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo']",2021-06-25,"The corpus-based analysis of job advertisements is part of the UPSKILLS needs analysis. Its objective is twofold. First, it aims to provide an overview of the knowledge, skills and competences mentioned in job posts targeting graduates in language-related degrees or professionals with expertise in this area, as well as of the typical tasks and responsibilities associated with these positions. Second, it aims to provide an initial list of companies at the crossroads between the language sector and the digital sector, which can be involved as stakeholders for the dissemination of UPSKILLS results.",project deliverable,https://doi.org/10.5281/zenodo.5030879,publication,open,zenodo,['5030878'],['upskills'],,,zenodo,,,7.13 Rapporto tecnico,competences skills and tasks in todays jobs for linguists evidence from a corpus of job advertisements,doi
Partispace - Deliverable 2.2 Comparative report,48113.0,10.5281/zenodo.48113,"['Andersson, Björn', 'Cuconato, Morena', 'De Luigi, Nicola', 'Demozzi, Silvia', 'Forkby, Torbjörn', 'Ilardo, Marta', 'Martelli, Alessandro', 'Pitti, Ilaria', 'Tuorto, Dario', 'Zannoni, Federico']","['zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo', 'zenodo']",2016-03-22,"Aiming at contributing to a better understanding of the current developments, paradoxes and ways to deal with youth political participation in Europe, the main research question of the PARTISPACE project is:
How and where do 15- to 30 year-old young people participate differently across social milieus and youth cultural scenes and across eight European cities (framed by different national welfare, education and youth policies)?
In relation to this research question, this report was intended to delineate the overall social, political, institutional and cultural framework in which the project PARTISPACE is placed and to identify the main starting points for the development of the forthcoming fieldwork.
In so doing, the report has outlined the scenario of youth participation in the eight countries involved in the PARTISPACE project.",project deliverable,https://doi.org/10.5281/zenodo.48113,publication,open,zenodo,['631665'],[],,"['Participation', 'Young people', 'Public policies', 'Youth policies', 'Engagement', 'Partispace']",zenodo,,,7.13 Rapporto tecnico,partispace deliverable 22 comparative report,multiple ids
Mapping Research Data at the University of Bologna: Code,14809078.0,10.5281/zenodo.14809078,"['Marino, Mario', 'Caldoni, Giulia', 'Coppini, Sara', 'Gualandi, Bianca']","['0000-0003-1499-8425', '0000-0001-6105-721X', '0000-0002-6279-3830', '0000-0001-8202-8493']",2025-02-05,"The Mapping Research Data at the University of Bologna: Code  contains the scripts used to analyze tabular data collected during the census phase and deposited in Mapping Research Data at the University of Bologna: Dataset (https://doi.org/10.5281/zenodo.14234555) to provide descriptive statistics and plots that answer specific research questions related to research data management activities stated in Data Management Plans at the University of Bologna.
Software:The script is developed in R and uses the R-Studio environment to perform descriptive statistical analyses and create visualizations.
Software version:R version 4.2.2
Code License:GPL, ""GNU General Public License"", https://en.wikipedia.org/wiki/GNU_General_Public_License",software,https://doi.org/10.5281/zenodo.14809078,software,open,zenodo,['14235080'],[],,"['research data management', 'data stewardship', 'data management plan', 'research data', 'data types']",zenodo,,,7.04 Software,mapping research data at the university of bologna code,title
PM100: A Job Power Consumption Dataset of a Large-Scale HPC System,10127767.0,10.5281/zenodo.10127767,"['Antici, Francesco', 'Seyedkazemi Ardebili, Mohsen', 'Bartolini, Andrea', 'Kiziltan, Zeynep']","['0000-0002-1125-0588', '0000-0002-1166-6559', '0000-0002-1148-2450', '0000-0003-0412-4396']",2023-11-24,"The dataset is a collection of jobs extracted from the job_table data of M100 (https://doi.org/10.5281/zenodo.7588815), a collection of data extracted from a Tier-0 supercomputer hosted at CINECA (Marconi100, https://www.hpc.cineca.it/hardware/marconi100).  The original job data present in M100 are filtered out by considering only the jobs running exclusively on the resources. Each job entry included in PM100 contains the power consumption of the job recorded at Node level, CPU level and Memory level. The final dataset contains 231116 jobs, executed on Marconi100 between May and October 2020. The dataset is stored as a parquet file, where each entry contains the information on a job execution. The structure of the data, as well as the code to generate them, is contained in the official GitHub repository of the project: https://github.com/francescoantici/PM100-data/.",dataset,https://doi.org/10.5281/zenodo.10127767,dataset,open,zenodo,['8129257'],[],,"['High Performance Computing', 'Power Consumption', 'Power Prediction', 'Workload Manager', 'HPC Jobs Dataset']",zenodo,,,7.05 Banche dati,pm100 a job power consumption dataset of a largescale hpc system,title
Dataset of the HazardNet: A Thermal Hazard Prediction Framework for Datacenters,10050368.0,10.5281/zenodo.10050368,"['Seyedkazemi Ardebili, Mohsen', 'ACQUAVIVA, Andrea', 'BENINI, LUCA', 'Bartolini, Andrea']","['0000-0002-1166-6559', '0000-0002-7323-759X', '0000-0001-8068-3806', '0000-0002-1148-2450']",2023-10-27,"This dataset entry showcases a comprehensive collection obtained from the Tier-0 supercomputer, Marconi A2, hosted at CINECA (https://www.hpc.cineca.it/). The dataset records inlet and outlet temperatures along with power consumption data from 3312 computing nodes, spanning from January 14, 2019, to December 31, 2019. The data is generated through ExaMon, a sophisticated monitoring datacenter infrastructure. The primary objective of this dataset is to support the research and development of HazardNet, an innovative thermal hazard prediction framework tailored specifically for datacenters. HazardNet integrates a comprehensive pipeline of machine-learning models. Researchers and enthusiasts interested in exploring our work further can find the complete set of codes and machine-learning models at our GitHub repository: https://github.com/MSKazemi/HazardNet",dataset,https://doi.org/10.5281/zenodo.10050368,dataset,open,zenodo,['10050367'],['eu'],,,zenodo,,,7.05 Banche dati,dataset of the hazardnet a thermal hazard prediction framework for datacenters,multiple ids
PERCEIVE: WP1: Framework for comparative analysis of the perception of Cohesion Policy and identification with the European Union at citizen level in different European countries: Task1.1: The framework for the comparative analysis,1035808.0,10.5281/zenodo.1035808,"['Reverberi, Pierre Maurice', 'Brasili, Cristina', 'Aiello, Valentina']","['0000-0001-5630-8133', '0000-0003-2529-0158', 'zenodo']",2017-10-24,"This dataset contains data on the Cohesion Policy projects managed by Local Managing Authorities in the selected case-studies of the PERCEIVE project over the 2007-2013 programming period.
The selected case-study regions are the following: Emilia-Romagna and Calabria (IT), Extremadura (ES), Burgenland (AT), Norra Mellansverige (SE), Sud-Est (RO), Essex (UK), Dolnośląskie and Warmińsko-Mazurskie (PL). The framework for the data collection was built by UNIBO after the guidelines set by the European Commission for the monitoring of the Cohesion Policy projects. All partners from the PERCEIVE consortium have contributed to the construction of this dataset by gathering data referred to their own case-study region from the Managing Authorities, some of which are involved in the PERCEIVE project as third-parties: Regione Emilia-Romagna (IT), Ministerio de Economia y Hacienda - Direccion General de Fondos Comunitarios (ES) and Agentia pentru Dezvoltare Regionala Sud-Est (RO).
The dataset is made up of 4 sheets:

""1. Categorisation"" includes information on projects' scopes, locations, titles, as well as on the managing authorities and other bodies involved;
""2. Payments"" contains information on the CP expenditure, broken down by source of the funding and year of payment, where available;
""3. Beneficiaries"" contains information on the beneficiaries of the CP funding (name and location, if available) and the amount of funding received broken down by year, if available;
""4. Communication"" reports the expenditure in Cohesion Policy-related communication and dissemination activities, broken down by type of activities and year, if available.

A codebook is included which provides information on the variables' content as well as details regards space and time coverage.",dataset,https://doi.org/10.5281/zenodo.1035808,dataset,open,zenodo,['1035807'],"['eu', 'perceiveproject']",,"['Cohesion Policy', 'Structural Funds', 'PERCEIVE', 'Horizon2020', 'Regional Policy']",zenodo,,,7.05 Banche dati,perceive wp1 framework for comparative analysis of the perception of cohesion policy and identification with the european union at citizen level in different european countries task11 the framework for the comparative analysis,multiple ids
KNOT Catalogue Knowledge Graph,15037686.0,10.5281/zenodo.15037686,"['Fintoni, Laurent', 'Tomasi, Francesca', 'Daquino, Marilena']","['0000-0002-8656-4602', '0000-0002-6631-8607', '0000-0002-1113-7550']",2025-03-17,"The KNOT Catalogue Knowledge Graph includes information about research projects in the Italian humanities and the digital objects they've created, based on the KNOT Data Model which was developed as a guideline for the description of digital scholarly activity and objects as cultural heritage. 
As of the first published version of the knowledge graph, it contains information about 100 research projects, 35 digital objects, and 96 web services. It can be browsed via a standard cataloguing interface on the official KNOT Catalogue website. 
The dataset is made available in both Turtle and N-Quads formats. 
Both the catalogue and knowledge graph are part of the KNOT pilot project (2023-2025), tasked with investigating ways to integrate the Digital Cultural Heritage (DCH) of Italian universities into I.PaC, the national infrastructure being built by the Central Institute for the Digitization of Cultural Heritage (ICDP) - Digital Library. More information about the KNOT project is available on the official website. 
 ",dataset,https://doi.org/10.5281/zenodo.15037686,dataset,open,zenodo,['15037685'],[],,"['Linked Open Data', 'Digital Cultural Heritage']",zenodo,,,7.05 Banche dati,knot catalogue knowledge graph,title
KNOT Controlled Vocabularies,15082216.0,10.5281/zenodo.15082216,"['Fintoni, Laurent', 'Daquino, Marilena', 'Tomasi, Francesca']","['0000-0002-8656-4602', '0000-0002-1113-7550', '0000-0002-6631-8607']",2025-03-25,"The KNOT Controlled Vocabularies were developed as part of the KNOT Data Model (KNOT-DM) to answer specific needs of the data model which were not appropriately covered by existing vocabularies, namely the need to classify the types of scholarly digital objects the KNOT project documents and the need to have an authority control for technologies used by these objects. This resulted in the creation of the KNOT Taxonomy and KNOT Technology Thesaurus, two SKOS-based controlled vocabularies. 
The KNOT Taxonomy aims to provide a simple hierarchical classification and definitions for different types of scholarly digital objects produced by humanities research, such as software, databases, digital platforms, and datasets. In the context of this taxonomy scholarly digital objects are understood as being either collections of structured information (such as datasets) or digital forms that enable interaction with information (software, visualization tools, etc.). 
The KNOT Technology Thesaurus aims to provide a hierarchical classification and definitions for a variety of technological concepts related to the research projects and scholarly digital objects catalogued by the KNOT project, such as the formal languages and information architecture used. 
Both vocabularies are used in the KNOT Catalogue (see https://zenodo.org/records/15037686), and intended to help increase the visibility of the scholarly digital objects created by humanities research. Definitions are taken from trusted sources and intended to act as a starting point for the classification of these objects within existing research structures and to improve authority control for the technologies used in humanities research.
The vocabularies are made available in traditional SKOS format and in SKOS with additional DCAT information, similarly to the vocabularies available from Schema, the Italian national catalogue of semantic data. The DCAT versions are labelled as such in the file name. 
Development of the vocabularies is ongoing. At the time of publication of this Zenodo record, the vocabularies are at version 1.3. All versions, as well as additional information about the vocabularies can be found on GitHub. The vocabularies can also be accessed and queried via the /DH.ARC Skosmos repository. 
The KNOT Controlled Vocabularies are part of the KNOT pilot project (2023-2025), tasked with investigating ways to integrate the Digital Cultural Heritage (DCH) of Italian universities into I.PaC, the national infrastructure being built by the Central Institute for the Digitization of Cultural Heritage (ICDP) - Digital Library. More information about the KNOT project is available on the official website. ",dataset,https://doi.org/10.5281/zenodo.15082216,dataset,open,zenodo,['15082215'],[],,"['Linked Open Data', 'Digital Cultural Heritage', 'Semantic Artefacts']",zenodo,,,7.05 Banche dati,knot controlled vocabularies,multiple ids
European Parliament Interpreting Corpus (EPIC),13856205.0,10.5281/zenodo.13856205,"['Lobascio, Marco', 'Liu, Nannan', 'Russo, Mariachiara']","['0009-0008-6490-4603', '0000-0003-2660-602X', '0000-0002-0904-2771']",2024-09-28,"EPIC v2.0 is a parallel and trilingual (English, Italian, and Spanish) corpus of European Parliament (EP) speeches and their simultaneous interpretations. The data were collected from EP sessions in Feb–Apr, and July 2004, including the speeches of 175 speakers and an unknown number of interpreters. The current version of the EPIC (v2.0) contains 692,585 tokens (source: 247,385, target: 445,200) and 83 h 36 min 14 s of audiovisual recordings (source videos: 27 h 32 min 20 s, target audio: 56 h 3 min 54 s). It is fully transcribed, annotated, and aligned at the recording–transcript level.",dataset,https://doi.org/10.5281/zenodo.13856205,dataset,open,zenodo,['13856204'],"['faitheu', 'eu']",,"['interpreting corpus', 'European Parliament', 'simultaneous interpreting', 'corpus']",zenodo,,,7.05 Banche dati,european parliament interpreting corpus epic,title
